id	strain	ok	call.rate
191	B6.A-19 BC1	233	0.9628
249	B6.A-19 BC1	237	0.9793
250	B6.A-19 BC1	235	0.9711
253	B6.A-19 BC1	234	0.9669
254	B6.A-19 BC1	232	0.9587
255	B6.A-19 BC1	234	0.9669
282	B6.A-19 BC1	237	0.9793
283	B6.A-19 BC1	232	0.9587
284	B6.A-19 BC1	236	0.9752
334	B6.A-19 BC1	232	0.9587
335	B6.A-19 BC1	233	0.9628
337	B6.A-19 BC1	232	0.9587
343	B6.A-19 BC1	235	0.9711
344	B6.A-19 BC1	231	0.9545
345	B6.A-19 BC1	233	0.9628
404	B6.A-19 BC1	233	0.9628
408	B6.A-19 BC1	231	0.9545
409	B6.A-19 BC1	232	0.9587
410	B6.A-19 BC1	235	0.9711
412	B6.A-19 BC1	231	0.9545
413	B6.A-19 BC1	234	0.9669
454	B6.A-19 BC1	236	0.9752
456	B6.A-19 BC1	237	0.9793
462	B6.A-19 BC1	237	0.9793
497	B6.A-19 BC1	235	0.9711
499	B6.A-19 BC1	197	0.814
500	B6.A-19 BC1	235	0.9711
517	B6.A-19 BC1	233	0.9628
518	B6.A-19 BC1	238	0.9835
532	B6.A-19 BC1	230	0.9504
533	B6.A-19 BC1	234	0.9669
540	B6.A-19 BC1	236	0.9752
544	B6.A-19 BC1	237	0.9793
551	B6.A-19 BC1	234	0.9669
586	B6.A-19 BC1	235	0.9711
588	B6.A-19 BC1	228	0.9421
603	B6.A-19 BC1	234	0.9669
606	B6.A-19 BC1	239	0.9876
615	B6.A-19 BC1	238	0.9835
616	B6.A-19 BC1	237	0.9793
617	B6.A-19 BC1	235	0.9711
637	B6.A-19 BC1	235	0.9711
642	B6.A-19 BC1	236	0.9752
652	B6.A-19 BC1	238	0.9835
655	B6.A-19 BC1	233	0.9628
659	B6.A-19 BC1	223	0.9215
663	B6.A-19 BC1	234	0.9669
664	B6.A-19 BC1	231	0.9545
665	B6.A-19 BC1	225	0.9298
675	B6.A-19 BC1	235	0.9711
677	B6.A-19 BC1	231	0.9545
680	B6.A-19 BC1	231	0.9545
784	B6.A-19 BC1	233	0.9628
788	B6.A-19 BC1	227	0.938
276	B6.A-19 BC1	236	0.9752
278	B6.A-19 BC1	231	0.9545
858	B6.A-19 BC1	236	0.9752
861	B6.A-19 BC1	235	0.9711
171	B6.A-X F1	233	0.9628
172	B6.A-X F1	230	0.9504
372	B6.A-X F1	237	0.9793
478	B6.A-X F1	235	0.9711
502	B6.A-X F1	227	0.938
574	B6.A-X F1	238	0.9835
703	B6.A-X F1	232	0.9587
308	B6.A-X F1	233	0.9628
830	B6.A-X F1	233	0.9628
831	B6.A-X F1	237	0.9793
834	B6.A-X F1	236	0.9752
168	B6.A-X F1	236	0.9752
170	B6.A-X F1	234	0.9669
174	B6.A-X F1	231	0.9545
390	B6.A-X F1	236	0.9752
393	B6.A-X F1	236	0.9752
394	B6.A-X F1	236	0.9752
396	B6.A-X F1	235	0.9711
477	B6.A-X F1	238	0.9835
501	B6.A-X F1	236	0.9752
503	B6.A-X F1	238	0.9835
505	B6.A-X F1	237	0.9793
506	B6.A-X F1	237	0.9793
569	B6.A-X F1	238	0.9835
570	B6.A-X F1	237	0.9793
571	B6.A-X F1	237	0.9793
307	B6.A-X F1	234	0.9669
309	B6.A-X F1	235	0.9711
827	B6.A-X F1	239	0.9876
829	B6.A-X F1	237	0.9793
832	B6.A-X F1	238	0.9835
833	B6.A-X F1	236	0.9752
837	B6.A-X F1	238	0.9835
839	B6.A-X F1	239	0.9876
841	B6.A-X F1	235	0.9711
483	B6.A-X F1	238	0.9835
575	B6.A-X F1	236	0.9752
643	B6.A-X F1	227	0.938
645	B6.A-X F1	233	0.9628
647	B6.A-X F1	234	0.9669
649	B6.A-X F1	235	0.9711
704	B6.A-X F1	235	0.9711
709	B6.A-X F1	236	0.9752
711	B6.A-X F1	234	0.9669
769	B6.A-X F1	234	0.9669
771	B6.A-X F1	233	0.9628
772	B6.A-X F1	238	0.9835
773	B6.A-X F1	238	0.9835
167	B6.A-X F1	238	0.9835
169	B6.A-X F1	235	0.9711
392	B6.A-X F1	236	0.9752
568	B6.A-X F1	237	0.9793
644	B6.A-X F1	235	0.9711
699	B6.A-X F1	233	0.9628
700	B6.A-X F1	234	0.9669
708	B6.A-X F1	232	0.9587
712	B6.A-X F1	234	0.9669
166	B6.A-X F1	233	0.9628
391	B6.A-X F1	234	0.9669
395	B6.A-X F1	234	0.9669
479	B6.A-X F1	236	0.9752
480	B6.A-X F1	234	0.9669
481	B6.A-X F1	233	0.9628
482	B6.A-X F1	237	0.9793
484	B6.A-X F1	230	0.9504
504	B6.A-X F1	233	0.9628
507	B6.A-X F1	233	0.9628
567	B6.A-X F1	233	0.9628
572	B6.A-X F1	236	0.9752
573	B6.A-X F1	232	0.9587
646	B6.A-X F1	231	0.9545
648	B6.A-X F1	231	0.9545
697	B6.A-X F1	226	0.9339
698	B6.A-X F1	231	0.9545
701	B6.A-X F1	233	0.9628
702	B6.A-X F1	231	0.9545
705	B6.A-X F1	232	0.9587
707	B6.A-X F1	233	0.9628
710	B6.A-X F1	234	0.9669
767	B6.A-X F1	231	0.9545
768	B6.A-X F1	230	0.9504
770	B6.A-X F1	232	0.9587
774	B6.A-X F1	231	0.9545
303	B6.A-X F1	228	0.9421
304	B6.A-X F1	234	0.9669
305	B6.A-X F1	228	0.9421
306	B6.A-X F1	228	0.9421
310	B6.A-X F1	237	0.9793
826	B6.A-X F1	235	0.9711
828	B6.A-X F1	236	0.9752
835	B6.A-X F1	235	0.9711
836	B6.A-X F1	236	0.9752
838	B6.A-X F1	235	0.9711
840	B6.A-X F1	233	0.9628
173	B6.A-X F1	217	0.8967
366	B6.A-X F1	15	0.062
367	B6.A-X F1	22	0.0909
368	B6.A-X F1	13	0.0537
369	B6.A-X F1	23	0.095
370	B6.A-X F1	14	0.0579
371	B6.A-X F1	23	0.095
373	B6.A-X F1	13	0.0537
706	B6.A-X F1	175	0.7231
