id	strain	ok	call.rate	sex
866	B6.A-15 BC1	236	0.9752	M
256	B6.A-15 BC1	236	0.9752	M
321	B6.A-15 BC1	233	0.9628	F
622	B6.A-15 BC1	234	0.9669	F
463	B6.A-15 BC1	238	0.9835	M
349	B6.A-15 BC1	233	0.9628	F
514	B6.A-15 BC1	227	0.938	F
226	B6.A-15 BC1	235	0.9711	M
123	B6.A-15 BC1	228	0.9421	F
493	B6.A-15 BC1	234	0.9669	F
875	B6.A-15 BC1	228	0.9421	F
262	B6.A-15 BC1	236	0.9752	M
811	B6.A-15 BC1	193	0.7975	M
820	B6.A-15 BC1	231	0.9545	F
121	B6.A-15 BC1	231	0.9545	F
816	B6.A-15 BC1	231	0.9545	F
843	B6.A-15 BC1	232	0.9587	F
442	B6.A-15 BC1	225	0.9298	M
812	B6.A-15 BC1	234	0.9669	F
871	B6.A-15 BC1	232	0.9587	M
854	B6.A-15 BC1	231	0.9545	F
118	B6.A-15 BC1	233	0.9628	M
823	B6.A-15 BC1	236	0.9752	M
423	B6.A-15 BC1	236	0.9752	M
822	B6.A-15 BC1	232	0.9587	F
258	B6.A-15 BC1	231	0.9545	F
444	B6.A-15 BC1	236	0.9752	M
611	B6.A-15 BC1	236	0.9752	M
819	B6.A-15 BC1	232	0.9587	F
419	B6.A-15 BC1	233	0.9628	F
849	B6.A-15 BC1	231	0.9545	F
882	B6.A-15 BC1	238	0.9835	M
230	B6.A-15 BC1	231	0.9545	F
355	B6.A-15 BC1	232	0.9587	F
290	B6.A-15 BC1	231	0.9545	F
383	B6.A-15 BC1	236	0.9752	M
881	B6.A-15 BC1	231	0.9545	F
607	B6.A-15 BC1	234	0.9669	F
865	B6.A-15 BC1	229	0.9463	F
384	B6.A-15 BC1	236	0.9752	M
351	B6.A-15 BC1	232	0.9587	F
557	B6.A-15 BC1	235	0.9711	F
609	B6.A-15 BC1	237	0.9793	F
354	B6.A-15 BC1	224	0.9256	M
110	B6.A-15 BC1	224	0.9256	F
796	B6.A-15 BC1	237	0.9793	M
231	B6.A-15 BC1	232	0.9587	F
357	B6.A-15 BC1	236	0.9752	M
491	B6.A-15 BC1	239	0.9876	M
817	B6.A-15 BC1	238	0.9835	M
440	B6.A-15 BC1	232	0.9587	M
509	B6.A-15 BC1	233	0.9628	F
225	B6.A-15 BC1	234	0.9669	M
625	B6.A-15 BC1	235	0.9711	M
289	B6.A-15 BC1	235	0.9711	M
353	B6.A-15 BC1	235	0.9711	M
624	B6.A-15 BC1	236	0.9752	M
868	B6.A-15 BC1	231	0.9545	F
109	B6.A-15 BC1	230	0.9504	F
111	B6.A-15 BC1	235	0.9711	M
116	B6.A-15 BC1	234	0.9669	M
117	B6.A-15 BC1	228	0.9421	F
120	B6.A-15 BC1	231	0.9545	M
224	B6.A-15 BC1	236	0.9752	M
227	B6.A-15 BC1	228	0.9421	F
229	B6.A-15 BC1	236	0.9752	M
260	B6.A-15 BC1	233	0.9628	F
263	B6.A-15 BC1	219	0.905	F
294	B6.A-15 BC1	227	0.938	F
317	B6.A-15 BC1	235	0.9711	M
319	B6.A-15 BC1	235	0.9711	M
322	B6.A-15 BC1	235	0.9711	M
330	B6.A-15 BC1	237	0.9793	M
331	B6.A-15 BC1	232	0.9587	F
350	B6.A-15 BC1	234	0.9669	F
352	B6.A-15 BC1	237	0.9793	M
439	B6.A-15 BC1	222	0.9174	F
443	B6.A-15 BC1	231	0.9545	F
445	B6.A-15 BC1	234	0.9669	F
464	B6.A-15 BC1	236	0.9752	F
465	B6.A-15 BC1	234	0.9669	F
466	B6.A-15 BC1	236	0.9752	F
508	B6.A-15 BC1	214	0.8843	F
552	B6.A-15 BC1	238	0.9835	M
553	B6.A-15 BC1	235	0.9711	F
554	B6.A-15 BC1	234	0.9669	F
555	B6.A-15 BC1	234	0.9669	F
608	B6.A-15 BC1	235	0.9711	F
610	B6.A-15 BC1	239	0.9876	M
612	B6.A-15 BC1	142	0.5868	F
628	B6.A-15 BC1	237	0.9793	M
789	B6.A-15 BC1	234	0.9669	M
790	B6.A-15 BC1	233	0.9628	F
793	B6.A-15 BC1	234	0.9669	F
795	B6.A-15 BC1	231	0.9545	F
850	B6.A-15 BC1	231	0.9545	F
851	B6.A-15 BC1	230	0.9504	F
853	B6.A-15 BC1	229	0.9463	F
864	B6.A-15 BC1	236	0.9752	M
867	B6.A-15 BC1	183	0.7562	F
874	B6.A-15 BC1	226	0.9339	F
883	B6.A-15 BC1	236	0.9752	M
386	B6.A-15 BC1	238	0.9835	F
388	B6.A-15 BC1	236	0.9752	M
810	B6.A-15 BC1	237	0.9793	M
814	B6.A-15 BC1	232	0.9587	M
818	B6.A-15 BC1	236	0.9752	M
821	B6.A-15 BC1	232	0.9587	F
825	B6.A-15 BC1	234	0.9669	M
842	B6.A-15 BC1	223	0.9215	F
846	B6.A-15 BC1	233	0.9628	F
847	B6.A-15 BC1	231	0.9545	F
125	B6.A-17 BC1	230	0.9504	M
177	B6.A-17 BC1	233	0.9628	F
178	B6.A-17 BC1	232	0.9587	F
299	B6.A-17 BC1	234	0.9669	F
424	B6.A-17 BC1	234	0.9669	M
426	B6.A-17 BC1	239	0.9876	M
429	B6.A-17 BC1	194	0.8017	F
430	B6.A-17 BC1	224	0.9256	M
431	B6.A-17 BC1	234	0.9669	M
741	B6.A-17 BC1	238	0.9835	M
761	B6.A-17 BC1	236	0.9752	F
763	B6.A-17 BC1	234	0.9669	F
806	B6.A-17 BC1	237	0.9793	M
242	B6.A-17 BC1	235	0.9711	M
126	B6.A-17 BC1	230	0.9504	F
131	B6.A-17 BC1	231	0.9545	F
138	B6.A-17 BC1	231	0.9545	F
142	B6.A-17 BC1	236	0.9752	M
160	B6.A-17 BC1	233	0.9628	M
195	B6.A-17 BC1	234	0.9669	M
200	B6.A-17 BC1	228	0.9421	F
223	B6.A-17 BC1	231	0.9545	F
297	B6.A-17 BC1	232	0.9587	F
398	B6.A-17 BC1	235	0.9711	F
402	B6.A-17 BC1	237	0.9793	M
427	B6.A-17 BC1	236	0.9752	M
472	B6.A-17 BC1	233	0.9628	F
473	B6.A-17 BC1	236	0.9752	F
485	B6.A-17 BC1	237	0.9793	M
486	B6.A-17 BC1	233	0.9628	F
488	B6.A-17 BC1	234	0.9669	F
525	B6.A-17 BC1	233	0.9628	M
577	B6.A-17 BC1	237	0.9793	M
578	B6.A-17 BC1	231	0.9545	F
582	B6.A-17 BC1	232	0.9587	F
682	B6.A-17 BC1	228	0.9421	F
683	B6.A-17 BC1	232	0.9587	F
685	B6.A-17 BC1	232	0.9587	F
737	B6.A-17 BC1	234	0.9669	M
764	B6.A-17 BC1	236	0.9752	M
780	B6.A-17 BC1	230	0.9504	F
809	B6.A-17 BC1	236	0.9752	M
140	B6.A-17 BC1	233	0.9628	M
154	B6.A-17 BC1	229	0.9463	F
158	B6.A-17 BC1	229	0.9463	F
175	B6.A-17 BC1	230	0.9504	F
182	B6.A-17 BC1	235	0.9711	M
212	B6.A-17 BC1	235	0.9711	M
218	B6.A-17 BC1	235	0.9711	M
397	B6.A-17 BC1	233	0.9628	F
489	B6.A-17 BC1	233	0.9628	F
765	B6.A-17 BC1	226	0.9339	F
447	B6.A-17 BC1	151	0.624	F
425	B6.A-17 BC1	237	0.9793	M
298	B6.A-17 BC1	232	0.9587	F
803	B6.A-17 BC1	233	0.9628	F
362	B6.A-17 BC1	236	0.9752	M
528	B6.A-17 BC1	236	0.9752	F
598	B6.A-17 BC1	236	0.9752	M
266	B6.A-17 BC1	229	0.9463	F
781	B6.A-17 BC1	230	0.9504	F
490	B6.A-17 BC1	238	0.9835	M
599	B6.A-17 BC1	235	0.9711	F
213	B6.A-17 BC1	237	0.9793	M
265	B6.A-17 BC1	235	0.9711	F
267	B6.A-17 BC1	235	0.9711	M
524	B6.A-17 BC1	237	0.9793	M
807	B6.A-17 BC1	232	0.9587	F
196	B6.A-17 BC1	231	0.9545	M
363	B6.A-17 BC1	235	0.9711	F
428	B6.A-17 BC1	233	0.9628	F
450	B6.A-17 BC1	233	0.9628	F
452	B6.A-17 BC1	237	0.9793	M
529	B6.A-17 BC1	237	0.9793	M
137	B6.A-17 BC1	234	0.9669	M
214	B6.A-17 BC1	239	0.9876	M
271	B6.A-17 BC1	234	0.9669	M
245	B6.A-17 BC1	203	0.8388	F
268	B6.A-17 BC1	236	0.9752	M
204	B6.A-17 BC1	231	0.9545	F
139	B6.A-17 BC1	226	0.9339	F
591	B6.A-17 BC1	231	0.9545	F
198	B6.A-17 BC1	228	0.9421	F
361	B6.A-17 BC1	233	0.9628	M
727	B6.A-17 BC1	234	0.9669	M
176	B6.A-17 BC1	235	0.9711	M
593	B6.A-17 BC1	236	0.9752	M
475	B6.A-17 BC1	233	0.9628	F
129	B6.A-17 BC1	232	0.9587	M
156	B6.A-17 BC1	230	0.9504	M
595	B6.A-17 BC1	235	0.9711	M
451	B6.A-17 BC1	236	0.9752	M
222	B6.A-17 BC1	234	0.9669	M
